"Study_ID","AUC","Permutation","DEBIAS"
10959,0.622268400878591,0,0
10959,0.535048882380809,1,0
10959,0.528280718377191,1,0
10959,0.520661957879323,1,0
10959,0.506193203841681,1,0
10959,0.530431973814548,1,0
10959,0.496890477626082,1,0
10959,0.497926267281106,1,0
10959,0.527117877600241,1,0
10959,0.499496102329988,1,0
10959,0.505392135750894,1,0
10959,0.499571471639605,1,0
10959,0.489080063740902,1,0
10959,0.508116197941341,1,0
10959,0.518047719540032,1,0
10959,0.496696670829924,1,0
10959,0.497577415048021,1,0
10959,0.493141392824842,1,0
10959,0.516632929928076,1,0
10959,0.515340884620354,1,0
10959,0.504575993798183,1,0
10959,0.514843447176881,1,0
10959,0.533802058658857,1,0
10959,0.514160816572634,1,0
10959,0.525132434644041,1,0
10959,0.521092639648564,1,0
10959,0.510394504500625,1,0
10959,0.507554158232482,1,0
10959,0.543033722382532,1,0
10959,0.484529910848874,1,0
10959,0.484984280115423,1,0
10959,0.497213488953013,1,0
10959,0.531161979413411,1,0
10959,0.520265730651622,1,0
10959,0.523338645075154,1,0
10959,0.512823549679142,1,0
10959,0.509119686463672,1,0
10959,0.513109953055687,1,0
10959,0.509897067057151,1,0
10959,0.521146474869719,1,0
10959,0.485477410741203,1,0
10959,0.507687669580947,1,0
10959,0.500185193160773,1,0
10959,0.518969378526207,1,0
10959,0.502403204272363,1,0
10959,0.501449244153495,1,0
10959,0.517054998061932,1,0
10959,0.526762565140618,1,0
10959,0.501681812308885,1,0
10959,0.51349972005685,1,0
10959,0.500118437486541,1,0
10959,0.499653301175761,1,0
10959,0.50272836900814,1,0
10959,0.513680606399931,1,0
10959,0.517649338903484,1,0
10959,0.530048667039924,1,0
10959,0.532848098539989,1,0
10959,0.547827210474181,1,0
10959,0.520218355657005,1,0
10959,0.522582798570137,1,0
10959,0.49414057452948,1,0
10959,0.502024204315431,1,0
10959,0.511148197596796,1,0
10959,0.511884663422197,1,0
10959,0.541825660019811,1,0
10959,0.510723976054094,1,0
10959,0.50644945949438,1,0
10959,0.533186183728843,1,0
10959,0.51624531633576,1,0
10959,0.542196046341358,1,0
10959,0.523263275765537,1,0
10959,0.501584908910806,1,0
10959,0.503075067832379,1,0
10959,0.546623454929153,1,0
10959,0.520037469313924,1,0
10959,0.490180455661312,1,0
10959,0.505389982342047,1,0
10959,0.519755372755071,1,0
10959,0.508861277402128,1,0
10959,0.517718247986563,1,0
10959,0.52283044058745,1,0
10959,0.529277746672983,1,0
10959,0.506404237908609,1,0
10959,0.524809423317111,1,0
10959,0.521590077092037,1,0
10959,0.51328437917223,1,0
10959,0.535098410784272,1,0
10959,0.496750506051079,1,0
10959,0.509300572806753,1,0
10959,0.493802489340626,1,0
10959,0.523258968947844,1,0
10959,0.50281881217968,1,0
10959,0.497896119557259,1,0
10959,0.492385546319824,1,0
10959,0.535266376674275,1,0
10959,0.537075240105086,1,0
10959,0.501839011154658,1,0
10959,0.506010164089754,1,0
10959,0.501444937335803,1,0
10959,0.494601404022568,1,0
10959,0.520898832852405,1,0
